Transaction Date,Amount,Transaction Type,Account,Description,Label
2023-07-01,1000,DEBIT,NEEDS,"Income",
2023-07-02,-30,CREDIT,NEEDS,"Gas",
2023-07-03,-40,CREDIT,WANTS,"Food",
2023-07-04,-10,CREDIT,WANTS,"Movies",
2023-07-05,-50,CREDIT,WANTS,"Shopping",
2023-07-06,-400,CREDIT,NEEDS,"Insurance",
2023-07-07,-70,CREDIT,NEEDS,"Groceries",
2023-07-27,-500,DEBIT,NEEDS,"Credit Card Payment",
2023-07-27,100,DEBIT,WANTS,"Transfer","NOISE"
2023-07-27,-100,DEBIT,WANTS,"Credit Card Payment",
2023-08-01,1000,DEBIT,NEEDS,"Income",
2023-08-28,-20,CREDIT,WANTS,"TV",
2023-08-28,-80,CREDIT,NEEDS,"Groceris",
2023-08-30,-80,DEBIT,NEEDS,"Credit Card Payment",
2023-08-30,100,DEBIT,WANTS,"Transfer","NOISE"
2023-08-30,-20,DEBIT,WANTS,"Credit Card Payment",
2023-09-01,1000,DEBIT,NEEDS,"Income",
2023-09-02,-100,CREDIT,NEEDS,"Groceries",
2023-09-30,-40,CREDIT,NEEDS,"Gas",
2023-09-30,-20,CREDIT,WANTS,"Food",
2023-09-30,-20,CREDIT,WANTS,"Uber",
2023-09-30,-140,DEBIT,NEEDS,"Credit Card Payment",
2023-09-30,100,DEBIT,WANTS,"Transfer","NOISE"
2023-09-30,-40,DEBIT,WANTS,"Credit Card Payment",
